currency,op,file,line,npc,method,case,target,amount,hint
Gold,gain,Game/MsgNpc/NpcHandler.cs,29719,PoorXiao,PoorXiao,21,client.Player,100,You`ve received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,29782,PoorXiao,PoorXiao,11,client.Player,100,You`ve received 100 Silver!
Gold,gain,Game/MsgNpc/NpcHandler.cs,31413,Mulan,Mulan,30,client.Player,3000,"You~received~20~minutes~of~EXP,~2,000~Silver~and~a~Diamond~Ring(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31458,Mulan,Mulan,10,client.Player,3000,"You~received~40~minutes~of~EXP~and~4,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31510,Mulan,Mulan,1,client.Player,3000,"You~received~30~minutes~of~EXP,~3,000~Silver~and~a~Diligence~Book!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31578,Harriet,Harriet,30,client.Player,2000,"You~received~40~minutes~of~EXP,~4,000~Silver~and~a~Refined~Gem!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31614,Harriet,Harriet,20,client.Player,2000,"You~received~20~minutes~of~EXP,~2,000~Silver~and~a~pair~of~Unique~Kylin~Boots(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31662,Harriet,Harriet,1,client.Player,3000,"You~received~30~minutes~of~EXP,~3,000~Silver~and~5~Ginsengs!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31774,BiVillageHead,BiVillageHead,40,client.Player,3000,"You~received~30~minutes~of~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31800,BiVillageHead,BiVillageHead,30,client.Player,4000,"You~received~40~minutes~of~EXP,~4,000~Silver~and~5~Ginsengs!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31837,BiVillageHead,BiVillageHead,20,client.Player,4000,"You~received~40~minutes~of~EXP~and~4,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31907,BiVillageHead,BiVillageHead,1,client.Player,3000,"You~received~40~minutes~of~EXP,~4,000~Silver~and~an~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,31984,AdjutantLi,AdjutantLi,10,client.Player,2000,"You~received~20~minutes~of~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32031,AdjutantLi,AdjutantLi,1,client.Player,3000,"You~received~30~minutes~of~EXP,~3,000~Silver~and~a~Defense~Pot~(20m)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32088,OldZhang,OldZhang,10,client.Player,4000,"You~received~40~minutes~of~EXP~and~4,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32212,SoldiersMother,SoldiersMother,20,client.Player,4000,"You~received~40~minutes~of~EXP~and~4,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32254,SoldiersMother,SoldiersMother,10,client.Player,4000,"Congratulations!~You~received~40~minutes~of~Exp,~4,000~silver~and~1~Diligence~Book!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32290,SoldiersMother,SoldiersMother,1,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~1~Small~Joy~Stone!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32339,SoldierZhang,SoldierZhang,40,client.Player,3000,"Congratulations!~You~received~20~minutes~of~Exp,~2,000~silver~and~1~Diligence~Book!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32391,SoldierZhang,SoldierZhang,10,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~5~Ginseng!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32428,SoldierZhang,SoldierZhang,1,client.Player,3000,"You~received~30~minutes~of~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32557,MysteryTaoist,MysteryTaoist,70,client.Player,3000,"Without their leader, the Hawks will be easily destroyed. Thanks for your help!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32603,MysteryTaoist,MysteryTaoist,60,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~5~Panacea!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32650,MysteryTaoist,MysteryTaoist,50,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp~and~3,000~silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32696,MysteryTaoist,MysteryTaoist,40,client.Player,4000,"Congratulations!~You~received~40~minutes~of~Exp,~4,000~silver~and~1~Bird~Island~Gate!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32744,MysteryTaoist,MysteryTaoist,30,client.Player,3000,~to their owners. Thanks for your help!
Gold,gain,Game/MsgNpc/NpcHandler.cs,32786,MysteryTaoist,MysteryTaoist,20,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~5~Ginseng!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32838,MysteryTaoist,MysteryTaoist,10,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~1~Small~Joy~Stone!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,32878,MysteryTaoist,MysteryTaoist,1,client.Player,3000,You`re~welcome.
Gold,gain,Game/MsgNpc/NpcHandler.cs,32938,SoldierGuan,SoldierGuan,12,client.Player,1000,"Congratulations! You received 10 minutes of Exp and 1,000 Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33062,SoldierXu,SoldierXu,16,client.Player,1000,"Congratulations!~You~received~10~minutes~of~Exp~and~1,000~silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33120,SoldierZheng,SoldierZheng,10,client.Player,1000,"Congratulations!~You~received~10~minutes~of~Exp,~1,000~silver~and~5~Panacea!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33208,SoldierFei,SoldierFei,10,client.Player,1000,"Congratulations!~You~received~10~minutes~of~Exp~and~1,000~silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33316,CookYuan,CookYuan,1,client.Player,3000,"You~received~30~minutes~of~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33471,TruthTaoist,TruthTaoist,30,client.Player,3000,"You~received~20~minutes~of~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33541,TruthTaoist,TruthTaoist,10,client.Player,3000,"~You~received~30~minutes~of~Exp,~3,000~silver~and~1~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33600,TruthTaoist,TruthTaoist,1,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~5~Panacea!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33820,XimenQing,XimenQing,50,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~1~Small~Joy~Stone!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33866,XimenQing,XimenQing,40,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33936,XimenQing,XimenQing,20,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,33984,XimenQing,XimenQing,1,client.Player,2000,"You`ve~received~some~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34031,StrangeBox,StrangeBox,30,client.Player,3000,You~saw~a~mysterious~halo~and~found~yourself~energized!
Gold,gain,Game/MsgNpc/NpcHandler.cs,34068,StrangeBox,StrangeBox,10,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34138,CityGeneral,CityGeneral,1,client.Player,2000,"You`ve~received~some~EXP,~3,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34256,WindTaoist,WindTaoist,1,client.Player,2000,"Congratulations!~You~received~3,270,000~Exp~and~2,000~silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34357,WealthyWan,WealthyWan,30,client.Player,3000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,34427,WealthyWan,WealthyWan,20,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp~and~3,000~silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34471,WealthyWan,WealthyWan,10,client.Player,3000,"You~received~30~minutes~of~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34520,WealthyWan,WealthyWan,1,client.Player,3000,"Congratulations!~You~received~30~minutes~of~Exp,~3,000~silver~and~an~Exp~Potion!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34644,LittleBen,LittleBen,5,client.Player,2000,"You~received~20~minutes~of~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34826,ArmorerYu,ArmorerYu,10,client.Player,3000,"Congratulations!~You~received~4,850,000~Exp,~3,000~silver~and~an~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34892,ViceGeneral,ViceGeneral,10,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,34927,ViceGeneral,ViceGeneral,1,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35018,IslandGeneral,IslandGeneral,10,client.Player,4000,"You`ve~received~EXP~worth~2/3~EXP~Ball,~4,000~Silver~and~1~Bird~Island~Gate!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35058,IslandGeneral,IslandGeneral,1,client.Player,3000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35148,BIViceCaptain,BIViceCaptain,10,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~1~Bird~Island~Gate!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35187,BIViceCaptain,BIViceCaptain,1,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35264,XuFan,XuFan,10,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~a~Small~Joy~Stone!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35305,XuFan,XuFan,1,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~1~Defense~Pot~(20m)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35350,Xi_er,Xi_er,10,client.Player,4000,"You`ve~received~EXP~worth~2/3~EXP~Ball,~4,000~Silver~and~1~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35393,Xi_er,Xi_er,1,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~5~Study~Points!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35489,BICastellan,BICastellan,10,client.Player,2000,"You~received~20~minutes~of~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35532,BICastellan,BICastellan,1,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35599,Lotus,Lotus,11,client.Player,3000,~and~an~EXP~Ball!
Gold,gain,Game/MsgNpc/NpcHandler.cs,35750,DCViceCaptain,DCViceCaptain,51,client.Player,3000,"You`ve~received~some~EXP,~2,000~Silver,~a~random~Gem~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35847,DCViceCaptain,DCViceCaptain,22,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35884,DCViceCaptain,DCViceCaptain,12,client.Player,3000,"You~received~2,519,000~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,35919,DCViceCaptain,DCViceCaptain,2,client.Player,1500,"You`ve~received~some~EXP,~1,500~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36158,TaoistYu,TaoistYu,53,client.Player,3000,"You've~received~some~EXP~3,000~Silver,~5~Panaceas,~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36217,TaoistYu,TaoistYu,42,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36246,TaoistYu,TaoistYu,31,client.Player,1000,"You`ve~received~some~EXP,~1,000~Silver~and~2~SmallJoyStone!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36296,TaoistYu,TaoistYu,11,client.Player,1000,"You`ve~received~some~EXP~and~1,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36356,TaoistYu,TaoistYu,3,client.Player,3000,"You've~received~some~EXP,~3,000~Silver,~an~EXP~Ball~Scrap~and~a~+1~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36429,SpringSoldierZhao,SpringSoldierZhao,32,client.Player,2000,"You've~received~some~EXP~3,000~Silver,~and~EXP~Postion~and~a~+2~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36467,SpringSoldierZhao,SpringSoldierZhao,21,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36528,SpringSoldierZhao,SpringSoldierZhao,3,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36613,TaoistSpring,TaoistSpring,22,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver,~a~Super~Necklace!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36704,TaoistSpring,TaoistSpring,15,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36733,TaoistSpring,TaoistSpring,4,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36808,ElderJiang,ElderJiang,21,client.Player,1000,"You`ve~received~EXP~worth~1/6~EXP~Ball~and~1,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36875,ElderJiang,ElderJiang,3,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,36978,ConvoyViceLeader,ConvoyViceLeader,42,client.Player,2000,"You`ve~received~some~EXP,~3,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37030,ConvoyViceLeader,ConvoyViceLeader,32,client.Player,2000,"You`ve~received~some~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37079,ConvoyViceLeader,ConvoyViceLeader,22,client.Player,2000,"You`ve~received~some~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37140,ConvoyViceLeader,ConvoyViceLeader,14,client.Player,2000,"You~received~2,952,000~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37223,ConvoyViceLeader,ConvoyViceLeader,4,client.Player,3000,"You`ve~received~some~EXP~3,000~Silver,~a~Small~Joy~Stone~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37350,SpringViceGeneralOu,SpringViceGeneralOu,13,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~3~EXPBallScrap!."
Gold,gain,Game/MsgNpc/NpcHandler.cs,37412,SpringViceGeneralOu,SpringViceGeneralOu,4,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~Meteor!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37500,SculptorHe,SculptorHe,22,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~a~Super~Ring!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37562,SculptorHe,SculptorHe,12,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37622,SculptorHe,SculptorHe,3,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~a~+1~Steed(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37703,SpringGeneralXu,SpringGeneralXu,31,client.Player,1000,"You`ve~received~EXP~worth~1/6~EXP~Ball,~1,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37752,SpringGeneralXu,SpringGeneralXu,22,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver,~and~a~+2~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37807,SpringGeneralXu,SpringGeneralXu,12,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver,~5~Panaceas~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37835,SpringGeneralXu,SpringGeneralXu,2,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball,~2,000~Silver~and~an~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37942,ConvoyLeaderGu,ConvoyLeaderGu,12,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,37977,ConvoyLeaderGu,ConvoyLeaderGu,2,client.Player,2000,"You`ve~received~some~EXP,~2,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38024,SoldierMu,SoldierMu,21,client.Player,2000,"You`ve~received~EXP~worth~1/3~EXP~Ball~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38103,SoldierMu,SoldierMu,3,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~ExpPotion!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38181,HanCheng,HanCheng,12,client.Player,3000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,38224,HanCheng,HanCheng,2,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~Diligence~Book!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38330,DCWanYing,DCWanYing,43,client.Player,3000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,38368,DCWanYing,DCWanYing,30,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38430,DCWanYing,DCWanYing,22,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38483,DCWanYing,DCWanYing,12,client.Player,3000,"You`ve~received~some~EXP~3,000~Silver~and~an~EXP~Potion!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38537,DCWanYing,DCWanYing,3,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38707,GeneralZhuGe,GeneralZhuGe,40,client.Player,2000,"You`ve~received~some~EXP~and~2,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38733,GeneralZhuGe,GeneralZhuGe,30,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~Desert~City~Gate!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38772,GeneralZhuGe,GeneralZhuGe,22,client.Player,3000,"You`ve~received~some~EXP~and~3,000~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38830,GeneralZhuGe,GeneralZhuGe,12,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~an~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38882,GeneralZhuGe,GeneralZhuGe,3,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~Diligence~Book!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38936,GeneralZhuGe,GeneralZhuGe,62,client.Player,1500,"You've~received~some~EXP,~2,000~Silver,~5~Panaceas~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,38994,IronsmithLi,IronsmithLi,31,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~a~Desert~City~Gate!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39033,IronsmithLi,IronsmithLi,22,client.Player,3000,"You`ve~received~EXP~worth~1/2~EXP~Ball,~3,000~Silver~and~an~EXP~Ball~Scrap!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39087,IronsmithLi,IronsmithLi,12,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~a~+1~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39142,IronsmithLi,IronsmithLi,3,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silvers,~a~Small~Joy~Stone~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39208,ViceGeneralDong,ViceGeneralDong,31,client.Player,3000,"You`ve~received~some~EXP,~2,000~Silver,~Tiger~Boots~and~a~+1~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39264,ViceGeneralDong,ViceGeneralDong,26,client.Player,3000,
Gold,gain,Game/MsgNpc/NpcHandler.cs,39329,ViceGeneralDong,ViceGeneralDong,12,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silver~and~5~Panaceas!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39365,ViceGeneralDong,ViceGeneralDong,3,client.Player,2500,"You`ve~received~some~EXP,~2,000~Silvers~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39452,KeYulun,KeYulun,22,client.Player,3000,"You`ve~received~some~EXP,~3,000~Silvers,~Unique~Snakeskin~Boots~and~a~+1~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39505,KeYulun,KeYulun,12,client.Player,3000,"You've~received~some~EXP,~3,000~Silver~and~2~Meteors!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,39549,KeYulun,KeYulun,3,client.Player,2000,"You`ve~received~some~EXP,~2,000~Silver~and~a~Desert~City~Gate!"
CP,spend,Game/MsgNpc/NpcHandler.cs,41097,KitMerchant,KitMerchant,40,client.Player,7000,You received 1 EliteTaoistKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41140,KitMerchant,KitMerchant,41,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41187,KitMerchant,KitMerchant,42,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41234,KitMerchant,KitMerchant,43,client.Player,7000,You received 1 EliteArcherKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41277,KitMerchant,KitMerchant,44,client.Player,7000,You received 1 EliteWarriorKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41320,KitMerchant,KitMerchant,45,client.Player,7000,You received 1 EliteTrojanKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41363,KitMerchant,KitMerchant,46,client.Player,7000,You received 1 EliteNinjaKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41405,KitMerchant,KitMerchant,47,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41457,KitMerchant,KitMerchant,49,client.Player,7000,You received 1 EliteUniversalKitB.
CP,spend,Game/MsgNpc/NpcHandler.cs,41488,KitMerchant,KitMerchant,50,client.Player,7000,You received 1 EliteUniversalKitA.
CP,spend,Game/MsgNpc/NpcHandler.cs,41559,KitMerchant,KitMerchant,21,client.Player,7000,You received 1 SuperTaoistKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41601,KitMerchant,KitMerchant,9,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41648,KitMerchant,KitMerchant,8,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41695,KitMerchant,KitMerchant,7,client.Player,7000,You received 1 SuperArcherKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41737,KitMerchant,KitMerchant,6,client.Player,7000,You received 1 SuperWarriorKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41780,KitMerchant,KitMerchant,5,client.Player,7000,You received 1 SuperTrojanKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41821,KitMerchant,KitMerchant,4,client.Player,7000,You received 1 SuperNinjaKit.
CP,spend,Game/MsgNpc/NpcHandler.cs,41860,KitMerchant,KitMerchant,3,client.Player,7000,
CP,spend,Game/MsgNpc/NpcHandler.cs,41913,KitMerchant,KitMerchant,86,client.Player,7000,You received 1 SuperUniversalKitB.
CP,spend,Game/MsgNpc/NpcHandler.cs,41944,KitMerchant,KitMerchant,99,client.Player,7000,You received 1 SuperUniversalKitA.
CP,spend,Game/MsgNpc/NpcHandler.cs,41995,PkReset,PkReset,1,client.Player,100,eidolon
CP,spend,Game/MsgNpc/NpcHandler.cs,42024,PkReset,PkReset,2,client.Player,1000,You've removed 100 Pk Points.
CP,spend,Game/MsgNpc/NpcHandler.cs,42053,PkReset,PkReset,3,client.Player,5000,You've removed 500 Pk Points.
CP,spend,Game/MsgNpc/NpcHandler.cs,42450,DrYinYang,DrYinYang,1,client.Player,1075,Please remove your garment.
CP,spend,Game/MsgNpc/NpcHandler.cs,42549,NameRegister,NameRegister,11,client.Player,3225,Your name reset was finished succesfully!
Gold,gain,Game/MsgNpc/NpcHandler.cs,42829,StoneApe,StoneApe,2,client.Player,1000,"You received 485,000 points of EXP, 1,000 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,42842,StoneApe,StoneApe,10,client.Player,1500,"You received 728,000 points of EXP, 1,500 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,42887,JackDaniel,JackDaniel,1,client.Player,1000,"You received 495,000 points of EXP, 1000 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,43064,DCViceGenera,DCViceGenera,21,client.Player,3000,"ou've~received~some~EXP,~3,000~Silver,~a~Small~Joy~Stone~and~a~+1~Stone~(B)!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,43113,DCViceGenera,DCViceGenera,3,client.Player,1500,"You`ve~received~some~EXP~and~1,500~Silver!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,43174,DCViceGenera,DCViceGenera,6,client.Player,3000,"You~received~some~EXP,~3,000~Silver~and~1~Refined~Gem!"
Gold,gain,Game/MsgNpc/NpcHandler.cs,43277,SnakemanLeader,SnakemanLeader,12,client.Player,2000,"You received 1,205,000 EXP, and 2,000 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,43384,CaptorCooke,CaptorCooke,72,client.Player,3000,"You received 1,863,000 EXP, an Elite Necklace and 3,000 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,43440,CaptorCooke,CaptorCooke,62,client.Player,2700,"You received 1,739,000 EXP, and 2,700 Silver."
Gold,gain,Game/MsgNpc/NpcHandler.cs,43491,CaptorCooke,CaptorCooke,52,client.Player,2500,"You received 1,553,000 EXP, 2,500 Silver, and 5 Panaceas."
Gold,gain,Game/MsgNpc/NpcHandler.cs,43526,CaptorCooke,CaptorCooke,41,client.Player,2000,"You received 1,835,000 EXP, and 2,000 Silver."
